Area fertilzed,,,,Commercial fertilizer,,,,Proportion area fertilized,,,Fertilizer Use ,,,,,,
Consolidated Subdivision,Division No.,Ag subdivision,Year,Number of farms reporting,Acres,Hectares,,Acres,Hectares,,Urea tonnes,,Urea tonnes/acre,,,Urea tonnes in division,
"Pense No. 160, Saskatchewan [CCS470206021]",6,21,2021,56,"142,832","57,802",,0.004303743,0.004303739,,1487000,,0.04,,,5713.28,
"Sherwood No. 159, Saskatchewan [CCS470206026]",6,26,2021,101,"186,008","75,275",,0.005604701,0.005604719,,1487000,,0.04,,,7440.32,
"Edenwold No. 158, Saskatchewan [CCS470206029]",6,29,2021,148,"146,630","59,339",,0.004418182,0.004418179,,1487000,,0.04,,,5865.2,
"South Qu'Appelle No. 157, Saskatchewan [CCS470206034]",6,34,2021,102,"113,443","45,909",,0.003418208,0.003418227,,1487000,,0.04,,,4537.72,
"Indian Head No. 156, Saskatchewan [CCS470206038]",6,38,2021,38,"109,514","44,319",,0.003299822,0.003299841,,1487000,,0.04,,,4380.56,
"Abernethy No. 186, Saskatchewan [CCS470206042]",6,42,2021,79,"98,814","39,989",,0.002977414,0.002977444,,1487000,,0.04,,,3952.56,
"North Qu'Appelle No. 187, Saskatchewan [CCS470206048]",6,48,2021,35,"72,527","29,351",,0.002185348,0.002185375,,1487000,,0.04,,,2901.08,
"Lumsden No. 189, Saskatchewan [CCS470206053]",6,53,2021,76,"115,809","46,866",,0.003489499,0.003489482,,1487000,,0.04,,,4632.36,
"Dufferin No. 190, Saskatchewan [CCS470206059]",6,59,2021,65,"101,774","41,186",,0.003066604,0.003066569,,1487000,,0.04,,,4070.96,
"Sarnia No. 221, Saskatchewan [CCS470206063]",6,63,2021,70,"126,767","51,301",,0.00381968,0.003819697,,1487000,,0.04,,,5070.68,
"Longlaketon No. 219, Saskatchewan [CCS470206070]",6,70,2021,124,"150,881","61,059",,0.004546272,0.004546244,,1487000,,0.04,,,6035.24,
"McKillop No. 220, Saskatchewan [CCS470206071]",6,71,2021,59,"117,640","47,607",,0.00354467,0.003544654,,1487000,,0.04,,,4705.6,
"Cupar No. 218, Saskatchewan [CCS470206091]",6,91,2021,100,"132,917","53,790",,0.004004989,0.004005019,,1487000,,0.04,,,5316.68,
"Lipton No. 217, Saskatchewan [CCS470206096]",6,96,2021,66,"113,367","45,878",,0.003415918,0.003415919,,1487000,,0.04,,,4534.68,
"Tullymet No. 216, Saskatchewan [CCS470206099]",6,99,2021,49,"53,375","21,600",,0.001608269,0.001608262,,1487000,,0.04,,,2135,
"Hart Butte No. 11, Saskatchewan [CCS470303001]",3,1,2021,61,"98,060","39,683",,0.002954695,0.00295466,,1487000,,0.04,,,3922.4,
"Poplar Valley No. 12, Saskatchewan [CCS470303006]",3,6,2021,53,"79,460","32,156",,0.002394249,0.002394226,,1487000,,0.04,,,3178.4,
"Old Post No. 43, Saskatchewan [CCS470303011]",3,11,2021,62,"76,767","31,066",,0.002313105,0.002313068,,1487000,,0.04,,,3070.68,
"Glen McPherson No. 46, Saskatchewan [CCS470303016]",3,16,2021,19,"23,852","9,653",,0.000718697,0.000718729,,1487000,,0.04,,,954.08,
"Mankota No. 45, Saskatchewan [CCS470303018]",3,18,2021,72,"109,064","44,137",,0.003286262,0.00328629,,1487000,,0.04,,,4362.56,
"Waverley No. 44, Saskatchewan [CCS470303022]",3,22,2021,41,"51,035","20,653",,0.001537761,0.001537752,,1487000,,0.04,,,2041.4,
"Willow Bunch No. 42, Saskatchewan [CCS470303026]",3,26,2021,70,"115,175","46,610",,0.003470396,0.003470421,,1487000,,0.04,,,4607,
"Excel No. 71, Saskatchewan [CCS470303029]",3,29,2021,75,"137,846","55,784",,0.004153507,0.004153486,,1487000,,0.04,,,5513.84,
"Lake of the Rivers No. 72, Saskatchewan [CCS470303034]",3,34,2021,75,"136,545","55,258",,0.004114306,0.004114322,,1487000,,0.04,,,5461.8,
"Stonehenge No. 73, Saskatchewan [CCS470303038]",3,38,2021,88,"183,234","74,152",,0.005521116,0.005521104,,1487000,,0.04,,,7329.36,
"Wood River No. 74, Saskatchewan [CCS470303042]",3,42,2021,71,"135,409","54,798",,0.004080077,0.004080071,,1487000,,0.04,,,5416.36,
"Pinto Creek No. 75, Saskatchewan [CCS470303048]",3,48,2021,68,"192,124","77,750",,0.005788985,0.005788999,,1487000,,0.04,,,7684.96,
"Auvergne No. 76, Saskatchewan [CCS470303054]",3,54,2021,59,"98,427","39,832",,0.002965754,0.002965754,,1487000,,0.04,,,3937.08,
"Whiska Creek No. 106, Saskatchewan [CCS470303059]",3,59,2021,65,"123,633","50,032",,0.003725248,0.003725211,,1487000,,0.04,,,4945.32,
