Site_ID,Date,Latitude,Longitude,Depth_m,Secchi_m,Temp,DO_mg.L,Cond_uS,Sal_ppt,pH,NH4+_ug.L,NO2+NO3_ug.L,TDN_ug.L,SRP_ug.L,TDP_ug.L,N_P,DIC_mg.L,DOC_mg.L,ChlaTRI,Fuco,Diato,Allo,Chl_b ,Pheo_B,Lutein,Echine,Cantha,Aphan,Myxo,ChlaHPLC ,Pheo_A,B-car,MC_ug.L,Group
57C,2017-08-22,52.40814,-107.92896,2.7,0.38,16.6,4.15,414.1,0.24,8.86,100,51.15,2200,120,200,11,32.498,24.166,15.07047208,0,0,0.02507505,0,0,0.092974824,0,0,0,0,0.123957173,0,0,2.195995932,2017_survey
57B,2017-08-22,52.41474,-107.92747,2.8,0.43,16.4,10.16,636,0.37,9.09,120,20.45,2210,40,60,36.83333333,62.715,29.147,147.7645104,2.792420278,0.175141738,0.553425313,0.671573824,0,1.007045385,0,0.68326222,0,0,27.17973472,0.205055896,0.693553599,0.02,2017_survey
57A,2017-08-22,52.41588,-107.93136,3.8,0.55,16.5,6.84,367,0.21,7.99,70,35.02,1360,40,50,27.2,27.245,16.285,16.146278,0.433752609,0.052085153,0.019109615,0.230457364,0.178733964,0.723538186,0,0.141722764,0,0,6.621896538,0.363208194,0.065431426,0.02,2017_survey
59B,2017-08-21,52.61742,-107.3954,2.3,1.64,18.2,9.18,136.1,0.07,9.59,50,15.25,978.35,30,20,48.9175,17.544,12.014,5.8064719,0,0.012652677,0.090031662,0,0,0.116117118,0.005900528,0,0,0,0.385744601,0,0.003227803,0.02,2017_survey
59A,2017-08-21,52.61391,-107.40239,2,0.72,17.6,8.45,228.8,0.13,8.31,60,480.01,2180,30,70,31.14285714,31.641,19.771,17.02131267,0.04723978,0.006484497,0.166430945,0.364605111,0.030781961,0.390968984,0.047475352,0,0,0,5.97384928,0.062552522,0.13515216,4.921412129,2017_survey
59D,2017-08-21,52.65964,-107.37451,1.2,0.15,16.8,10.46,684,0.4,8.41,3940,1060,8560,20,90,95.11111111,84.832,35.188,91.94568234,3.165695102,1.685969198,9.742534674,17.93801664,9.545339374,8.305471049,0,2.434763928,0,0,63.45415545,1.661871581,2.3553988,0.02,2017_survey
44A,2017-08-22,52.71911,-108.8854,4,1.89,17.9,8.13,363.2,0.2,8.71,40,11.33,656.39,20,20,32.8195,26.991,9.222,7.677850136,0,0,0,0,0,0.441067331,0,0,0,0,0.981618958,0,0.036932075,0.02,2017_survey
44B,2017-08-22,52.6791,-108.90743,2,0.15,16.3,5.92,1212,0.73,8.49,70,8.89,2380,280,420,5.666666667,55.584,32.502,58.90268256,0.471348024,0.043590229,0.191761447,0.551113049,0.448048536,0.827639556,0.047547493,0.030129731,0,0,2.98686481,0.55602242,0.122046831,0.02,2017_survey
58A,2017-08-22,52.62412,-107.45502,2.4,0.84,18.2,8.37,2814,1.7,8.52,90,44.13,7180,8.29E-01,60,119.6666667,141.85,90.392,2.683130158,0,0.0079402,0,0,0,0.055181455,0,0,0,0,0.38643994,0,0,0.02,2017_survey
58B,2017-08-21,52.6377,-107.45095,2.1,0.27,17.1,5.48,706,0.41,8.81,390,303.57,5970,10,70,85.28571429,63.546,63.373,132.7929746,10.01406028,0.896982773,7.298846786,11.85782185,3.620630162,13.96205945,0,1.118435487,0,0,55.15585899,0.839341116,2.646028759,0.02,2017_survey
58C,2017-08-21,52.63996,-107.45967,2.4,1.25,16.6,5.77,457.4,0.26,8.59,740,18.77,2220,20,20,111,37.376,19.843,4.241786747,0,0.023820601,0.096476256,0,0,0.421480024,0.013322667,0,0,0,0.750273709,0,0.071382541,0.02,2017_survey
4H,2017-08-23,50.33835,-104.6525,1.4,0.24,16.1,8.64,501,0.29,8.29,60,42.53,1500,10,40,37.5,41.298,18.601,52.57897036,1.05766769,0.145390925,0.197854479,0.524694377,0.349703256,1.464661991,0,0.137979342,0,0,5.28892585,0.184581213,0.462528079,0.02,2017_survey
5A,2017-08-24,51.37151,-102.58316,2.3,2.3,20.3,3.9,3239,1.88,8.07,80,26.84,1170,20,10,117,76.136,15.401,2.37251635,0,0,0.003725774,0,0,0.057811382,0,0,0,0,0.284821172,0,0,0.02,2017_survey
74A,2017-08-24,51.54864,-102.76026,2.5,1.27,17.6,6.84,783,0.45,7.84,30,302.05,1080,60,70,15.42857143,78.029,10.824,17.14287542,0.352273786,0.062171768,0.144150195,0.512311019,0.573675231,0.237002067,0,0,0,0,2.792866881,0.523143339,0.18566753,0.02,2017_survey
74B,2017-08-24,51.55365,-102.76506,2.7,1.02,18.3,8.76,683,0.38,8.52,30,12.22,998.84,20,10,99.884,59.504,17.436,23.07133583,0.604881972,0.201510123,0.122322195,1.219027492,0.067254424,0.575240646,0,0.258905324,0.02457748,3.349132139,5.358496482,0.411156038,0.312536856,0.02,2017_survey
74C,2017-08-24,51.54495,-102.76698,3.3,0.43,18.5,10.12,617,0.35,9.19,90,39.02,1490,10,30,49.66666667,39.053,20.063,167.1026312,2.596788185,2.132606936,5.15591095,6.854214901,0.989126998,3.927849911,0,1.318122706,0,0,51.60206542,0.649156175,2.603567691,0.02,2017_survey
10C,2017-08-24,51.80564,-103.37831,2,0.19,16.8,7.46,1049,0.62,8.88,80,19.83,2020,10,30,67.33333333,27.259,22.682,174.6141702,0.33606093,0.37869462,1.94898963,3.680085237,0.617598062,1.482987927,0,0,0,0,25.98121565,0.83621349,1.123205137,0.02,2017_survey
10D,2017-08-24,51.80376,-103.40521,0.5,0.5,16.6,10.28,3569,2.27,9.69,30,0.5,1830,5.86,20,91.5,20.884,28.95,50.21253248,0.355219523,0.194340373,0.236597204,1.453763579,0,2.793749748,0.171906812,0.039616102,0.129934953,0.40250856,8.324537356,0.62052102,2.016926807,0.02,2017_survey
10A,2017-08-24,51.77975,-103.42531,0.8,0.76,18.4,4.47,738,0.42,7.88,240,21.1,1640,70,100,16.4,57.312,20.094,10.56081367,0,0.064705303,0.017407389,0.106033227,0.028414117,0.149271953,0,0.011542051,0,0,0.859132085,0.05774079,0.012215994,0.02,2017_survey
10B,2017-08-24,51.77527,-103.46152,2.2,0.76,18,8.54,1313,0.76,9.3,90,5.48,2120,20,50,42.4,35.142,29.128,67.04944538,0.904657019,0,0,1.576971671,0.510702514,1.612299955,0.145660977,0.67689994,0.312831931,0,15.88704296,1.980392675,0.840990415,0.02,2017_survey
4A,2018-04-24,50.48948,-104.50242,2.2,0.41,18.5,12.24,207.3,0.11,9.36,190,49.1,1700,40,60,28.33333333,24.708,16.779,76.46945844,2.436199638,0.415115122,15.98482982,5.619018617,1.366434317,15.63196327,0.345216887,0.699907525,0,0,42.01588406,12.86646946,2.501483477,0,2018_survey
66A,2018-04-24,50.3382,-104.48416,2,0.89,14.6,8.08,593,0.37,8.74,60,10.76,1090,70,100,10.9,24.23,15.224,8.91562902,3.486083635,0.112221171,1.167013104,0.884241569,0.500949039,1.019763571,0.062265757,0.142012719,0,0,8.627466307,0.614571265,0.318522142,206.06,2018_survey
66B,2018-04-24,50.33769,-104.5039,1.6,0.53,14.4,9.62,1841,1.19,8.7,70,7,1860,7.51,40,46.5,64.131,29.08,15.21268794,0,0,0,0,0,0,0,0,0,0,0,0,0,1067.57,2018_survey
66C,2018-04-24,50.35231,-104.5746,3.2,0.57,14.1,6.43,246.4,0.15,7.98,40,33.53,1210,150,190,6.368421053,0,0,19.39446811,6.831060762,0.281919989,0.484512735,0.899148699,0.604620957,1.831750017,0.261437202,0.162382773,6.660508553,0,10.40002834,0.347932731,0.439943713,0,2018_survey
61B,2018-04-25,49.983886,-105.28614,0.8,0.36,16.5,7.55,2682,0,7.93,140,50.29,1470,7.69,20,73.5,29.373,17.765,7.615088833,1.621915306,0.039896788,0.060950497,0.305372861,0.029993631,2.064059849,0.065995589,0.005198924,0,0,4.143014643,0.02680323,0.554237563,1316.61,2018_survey
61C,2018-04-25,49.98286,-105.30305,0.9,0.24,17.6,8.6,1057,0,8.19,30,4.49,2010,4.04,50,40.2,32.276,28.669,10.8250624,0,0,0,0,0,0,0,0,0,0,0,0,0,286.19,2018_survey
62B,2018-04-26,51.04645,-104.65152,1.8,0.39,15.4,7.73,823,0.5,9.07,90,5.6,1950,90,150,13,57.48,24.345,13.39594463,1.948200431,0.406859661,0.490721234,1.395691492,0.426875058,2.928484794,0.117913636,0.360884389,0,0,7.432229773,0.205446759,0.602269552,212.2,2018_survey
62C,2018-04-26,50.4949,-104.65465,1.5,0.31,15.6,9.07,313.5,0.18,8.58,70,9.08,1730,520,570,3.035087719,41.246,25.092,41.40995423,0.749192601,0.243431235,0.960996938,3.839655856,1.231645533,4.22226512,0.418086241,0.203347171,0,0,25.08918362,1.408475171,2.072553929,0,2018_survey
62E,2018-04-26,50.63367,-104.68465,2.2,1.77,16.5,7.87,2236,1.39,8.91,200,30.97,3550,620,690,5.144927536,45.922,39.733,0.241084367,0.054952263,0.022402484,0.087598125,0.12063309,1.227316176,0.146048133,0.069213354,0.006009237,0,0,1.297115455,0.144922332,0.212750407,1106.96,2018_survey
4C,2018-04-27,50.12523,-103.85218,1.2,0.41,17.3,9.99,278.2,0.16,8.77,30,6.96,1120,10,20,56,35.118,14.785,15.7827883,5.613695766,0.184910089,0.593650358,0.883796584,0.4953061,1.093390902,0.100000254,0.249859604,0,0.258807916,6.052564455,1.005001776,0.349289586,0,2018_survey
4D,2018-04-27,50.13192,-103.84162,1.9,0.57,19.4,12.45,167.2,0.09,9.66,190,8.93,1420,20,40,35.5,20.481,13.003,54.24237007,1.962616042,0.325923413,29.02497538,1.545517204,0.307963255,3.478923879,0.254395497,0.258334848,0,1.85792952,30.6422229,1.717780733,1.199262541,0,2018_survey
56A,2018-04-27,50.13223,-103.856,3,0.41,16,9.34,2147,1.35,8.73,40,11.32,1620,120,140,11.57142857,36.096,22.086,9.09793596,0.018282811,0.00864685,0.05370638,0.184714855,0,6.148783155,0.125410772,0.117601563,1.276494552,0.333103434,4.766422909,0,0.460350981,1160.93,2018_survey
